Email,Class,Is_Phishing,Risk,Social_Engineering_Elements,Actions,Reason
SUBJECT: final guest list rooming list EMAIL: attached for your reference and review is the final guest list with activities as well as the rooming list . i will be sending both our customers and employees a confirmation of this weekend s itinerary today . if you have any questions or need me to make any changes please let me know . thank you heather choate c . p . s . asst . to bob hall enron americas,Legit,False,Low,"['attached file', 'final guest list']","[""Verify sender's identity"", ""Check Enron Americas' official website for contact information""]","The email is legitimate, but lacks personalization and has a generic greeting. The attachment of a file with sensitive information could be a red flag."
SUBJECT: revised stwhoulry pma 08 - 31 - 01 EMAIL: kate : per our discussion i have taken out the three items you questioned about and added the additional items in my prior email bpa etc we agreed on . i have attached the revised pma file for your reference . i ll continue to work with settlments to find out what happened to the three questionable items and update you and bill on that . other than that the total pma for whourly taken today will be - 54 135 26 . let me know if you have any questions . - fran,Legit,False,Low,"['personalized content', 'attachment of a file']","[""Verify sender's identity with a phone call or in-person meeting"", 'Be cautious of attachments from unknown senders']","The email appears to be a legitimate internal communication, but the attachment and request for payment are red flags."
SUBJECT: fw : december crude EMAIL: let s discuss how you recommend to proceed . bill - - - - - original message - - - - - from : fuller robert sent : tuesday november 20 2001 3 : 20 pm to : moran tom shankman jeffrey a . bradford william s . subject : december crude tomorrow is the final day to schedule december barrels and we are currently short 1 220 000 barrels . we have exhausted all measures of buying crude including : settling sales financially buying from companies where we have short positions and selling physical puts . as a group we have reduced our short physical position from over 10 million barrels to 1 . 2 under extremely difficult credit terms . we believe we cannot cover the remaining 1 . 2 without prepaying a counterparty . this requires a cash infusion of approximately 22 631 000 1 220 x 18 . 55 / barrel . every effort will be made within the next 24 hours to reduce this position but the outlook is not bright . please let me know as soon as possible what can be made available to us . sincerely rob fuller,Legit,False,Low,[],"[""Verify sender's identity""]","The email appears to be a legitimate business communication from an individual with a job title, and the language used is formal and professional."
"SUBJECT: re : fw : parent - subsidary model EMAIL: hi again thanks for the financial data on enron s european counterparties . it is my understanding that you started out with a list of 500 such counterparties . however your spreadsheet only contains information for 72 of these european counterparties . will you please tell me the logic behind the elimination of the 400 other counterparties thanks so much iris - - - - - original message - - - - - from : parsons ben sent : tuesday april 17 2001 2 : 56 am to : mack iris cc : valnek tomas dhar amitava mumford mike subject : re : fw : parent - subsidary model hi iris the inputs and outputs generated by riskcalc can be seen in the attached file : > we only looked at the 5 - yr pd . inputs are in columns a - u . these are the inputs generated by amadeus . you can run these inputs through the riskcalc model over the web http : / / www . moodysqra . com / privfirm using the login : dupred password : detective . this is our trial licence which lasts for about 2 more weeks mike mumford will have more details about the current licence tomas valnek was getting the data from the amadeus database so i ll leave it to him to determine if houston access is possible . in the meantime you can use the dataset attached for testing purposes . ben from : iris mack / enron @ enronxgate on 12 / 04 / 2001 17 : 58 cdt to : ben parsons / lon / ect @ ect cc : amitava dhar / corp / enron @ enron subject : fw : parent - subsidary model hi ben how are you today we had a meeting with craig chaney and jeff kinneman to discuss the private firm model . they requested that i spend some time carefully analyzing the moody s riskcalc model . i noticed that you also have been looking at riskcalc - as indicated in your paper entitled "" pricing parent companies and their subsidiaries : model description and data requirements "" other than the example discussed in your paper did generate any other test statistics scores etc . also you stated that you used amadeus database . we are in the process of trying to obtain data from various data vendors - but that may take a while . in the mean time may we have access to the amadeus database or some sample dataset thanks so much iris - - - - - original message - - - - - from : valnek tomas sent : tuesday april 10 2001 9 : 10 am to : fiala markus seyfried bryan salmon scott kirkpatrick eric mumford mike fontaine jean - sebastien brooks simon price nigel diprose robert rezaeian reza gordon mike lee derek hershkovitz ilan golden sally stephan nicholas albanis george shanbhogue vasant mack iris cc : parsons ben subject : parent - subsidary model attached is a description of the parent - subsidiary model that ben and i have been working on over the last few weeks . comments welcome tv >",Legit,True,High,"['Urgency', 'Scarcity', ""Falsely claiming to be from a company's internal communication channel"", 'Requesting access to restricted data']","['Report the email as spam or phishing', 'Do not respond to the request for access to the Amadeus database', 'Verify the authenticity of the sender and the company before taking any action']","The email attempts to create a sense of urgency, scarcity, and exclusivity to gain the recipient's trust. It also makes a false claim about being from an internal communication channel and requests access to restricted data."
"FROM: scripting SUBJECT: Jon Hanna on the RSS-DEV list says that RSS was ""not designed EMAIL: URL: http://scriptingnews.userland.com/backissues/2002/09/25When:6:25:23AM Date: Wed 25 Sep 2002 13:25:23 GMT Jon Hanna on the RSS-DEV list says1 that RSS was ""not designed to be of any particular use to bloggers aggregators or metadata providers."" This is not true. Half of RSS 0.91 was scriptingNews format2 which was totally designed to model a weblog in XML. 1 http://groups.yahoo.com/group/rss-dev/message/4023 2 http://my.userland.com/stories/storyReader11",Legit,False,Low,['attempt to create a sense of authority'],"[""Verify the sender's authenticity through other means before taking action.""]","The email appears to be from Jon Hanna, but it is based on a Yahoo group message and lacks personalization or contextual relevance."
SUBJECT: re : tradespark EMAIL: vince thanks for the tradespark article . i very much appreciate being able to participate in the applied learning projects . it has been very stimulating for me . i ve really enjoyed all the projects i ve worked on with the research group and ever since my interview i have had plenty of second thoughts about going back to graduate school . i m sure mit will be a good and unique experience but i wonder if it can help me find a job and a community i enjoy as much as i already have here . if possible i would like to talk with you and / or stinson about the possibility of my staying on the research team or coming back after the fall . thanks for your time . ken,Legit,False,Low,['Personalized greeting'],"[""Verify sender's identity and context"", ""Research Tradespark's official website for legitimacy""]","Phishing attempt using personalization to create a sense of familiarity, but the tone is too casual and lacks official branding."
"FROM: John Gay SUBJECT: ILUG Optimizing for Pentium Pt.2 EMAIL: A while ago I asked what other packages I should optomize for Pentium. One person answered GlibC. This got me thinking about GCC itself so I asked on another list and got a few answers most were ""dont even think about it"" but a few suggested GCC and one pointed me to Linux From Scratch. After having a good search around the lfs site Ive decided Im going to give it a whirl. Ive got a spare box and loads of free time so why not - The lfs site however warns NOT to use optimizations when compiling GCC or GlibC A quick google found PGCC a Pentium optimizing patch for GCC but the site does not seem to have been updated in quite some time So my general plan and Im taking my time with this: Partition the hard drive for the lfs set-up with 4 partitions / /usr /var and /home. Install a base Debian system into the /home partition so I can build the rest of the system into the other partitions. Using Debian build the initial packages into the / and /usr partitions. Ill try to optimize GCC and GlibC in this first stage. chroot to the / partition and re-build the base packages for shared libs. strip de-bugging from the binaries and change the boot so the system boot from / rather than /home then move /home to its proper partition. All going well I should now have a full base Linux system running that is fully optimized for my PentiumMMX including GCC and GlibC. Now I can build zlib and then X again optimizing. And I can follow this with the various graphics libs qt lib and finally KDE. If all goes well I will probably repeate this for my Dual system once I can find a match for the slot1 550Mhz PIII Ive got. I might even be tempted to write this up for the site. Cheers John Gay -- Irish Linux Users Group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for unsubscription information. List maintainer: listmaster@linux.ie",Legit,False,Low,['Personalization'],['Be cautious when receiving unsolicited advice from individuals claiming to be experts.'],The email appears to be a genuine request for advice on Linux optimization and does not contain any obvious phishing tactics.
"SUBJECT: re : risk report on "" guide to electricxity hedging "" and request for EMAIL: gu est access to enrononline ed i sent a message to louise kitchen who runs the enrononline effort . she should be getting back to you shortly . vince ekrapels on 01 / 18 / 2000 12 : 00 : 12 pm to : vince j kaminski / hou / ect @ ect cc : subject : risk report on "" guide to electricxity hedging "" and request for gu est access to enrononline dear vince greetings from boston where we re doing all we can to help keep the price of gas high . as i may have told you earlier i m writing a "" guide to electricity hedging "" for risk publications similar to the report on oil . i had planned to write a significant section on enrononline and in the midst of my research on the topic was denied access by enron s gatekeeper . can you help get me in as always the best from here . ed krapels - - - - - original message - - - - - from : donna greif mailto : dcorrig @ ect . enron . com sent : tuesday january 18 2000 12 : 37 pm to : ekrapels @ esaibos . com subject : request for guest access dear mr . krapels : thank you for requesting guest access to enrononline . unfortunately we are unable to give you quest access at this time . enrononline is exclusively for those companies who can transact wholesale energy commodities and related products . in addition you had indicated within the comments section of your email that you are preparing a "" guide to electricity hedging "" for risk publications . i have forwarded your inquiry to our public relations department along with your contact information . should you not hear back from anyone within a reasonable amount of time please feel free to contact our call center at 713 853 - help 4357 . sincerely donna corrigan greif enrononline help desk 713 / 853 - 9517 - attl . htm",Legit,False,Low,['request for guest access to EnronOnline'],"[""Verify the sender's identity and the legitimacy of the request""]","The email appears to be a genuine request from EnronOnline, but the language and tone seem overly friendly and promotional, which is uncommon in official corporate communications."
FROM: Mark Kilmartin SUBJECT: Re: ILUG How to copy some files EMAIL: How about rsync. It doesnt only work for remote files. MArk On Fri 2002-07-19 at 14:28 Niall O Broin wrote: > I have about 60G of data which I need to copy from one disk to another. > However Im not sure how I should best copy it. The problem is the bulk of > the data is images and most of these image have two directory entries i.e. > there is a hard link to each file. If I copy them using cp -a or my usual > favourite of find .cpio -pmd other_dir its going to copy each file twice > which is not what I want. dump / restore would take care of this if the > source filesystem wasnt reiserfs :- Any suggestions > > > Niall > > -- > Irish Linux Users Group: ilug@linux.ie > http://www.linux.ie/mailman/listinfo/ilug for unsubscription information. > List maintainer: listmaster@linux.ie -- Irish Linux Users Group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for unsubscription information. List maintainer: listmaster@linux.ie,Legit,False,Low,"['personal message from a group', 'mention of hard link to files']","[""Verify sender's identity"", ""Check email's authenticity""]",This email is likely a response from a legitimate online community.
"SUBJECT: re : fall interviews EMAIL: this was the response i received from the ford career center regarding internship interviews . thank you lexi - - - - - - - - - - - - - - - - - - - - - - forwarded by lexi elliott / na / enron on 02 / 09 / 2001 11 : 53 am - - - - - - - - - - - - - - - - - - - - - - - - - - - "" cindy henson "" on 02 / 05 / 2001 03 : 02 : 03 pm to : cc : subject : re : fall interviews lexi : all of the companies that you mentioned interview for internships during spring february recruiting . fall is primarily when these companies come for full time recruiting . - - - - - original message - - - - - from : lexi . elliott @ enron . com mailto : lexi . elliott @ enron . com sent : monday february 05 2001 2 : 56 pm to : ljames @ mail . utexas . edu hensonc @ mail . utexas . edu cc : richard . causey @ enron . com mark . e . lindsey @ enron . com shelly . jones @ enron . com subject : fall interviews lynett and cindy : greetings from houston i have a special request for you . in order for us to prepare our campus recruiting strategy for next fall i need information regarding internship recruiting . as you know we decided to concentrate our spring 2001 effort on intern recruiting and interviewing . in order for us to ensure that we are being effective with this strategy i need to know which companies interviewed for summer interns during the fall 2000 recruiting season . companies of particular interest would be el paso williams dynegy duke consulting firms such as mckinsey and big 5 accounting firms . by providing this information you would greatly assist our effort for upcoming years . thank you in advance for your assistance . sincerely lexi elliott 713 / 853 - 4585",Legit,False,Low,['Request for sensitive information'],"[""Verify sender's identity"", 'Contact company directly']",Lack of personalization and suspicious request for internship recruiting data.
SUBJECT: Re: Python-3000 PEP 3138- String representation in Python 3000 EMAIL: Atsuo Ishimoto wrote: >> I proposed to make the Unicode repr output a regular encoding >> thats being implemented by a codec. You could then easily >> change the encoding to whatever you need for your application >> or console. > > I think global setting is not flexible enough. And I see no benefit to > customizable repr except to keep compatible with Python 2 but I > think it is easy to migrate the existing code to the Py3k. Theres a bigger issue with trying to make whatever repr does a codec in Py3k. As a Unicode->Unicode transformation it doesnt mesh well with Py3ks strict Unicode->bytes/bytes->Unicode encoding/decoding philosophy. That said it would be nice to have a way to easily stack Unicode->Unicode transforms on top of text IO streams or byte->byte transforms on top of binary streams. Cheers Nick. -- Nick Coghlan uytankmf@gmail.com Brisbane Australia --------------------------------------------------------------- http://www.boredomandlaziness.org _______________________________________________ Python-3000 mailing list smsbmo-9552@python.org http://mail.python.org/mailman/listinfo/python-3000 Unsubscribe: http://mail.python.org/mailman/options/python-3000/python-300040tangomu.com,Legit,False,Low,[],"[""Verify sender's identity by contacting them directly."", ""Check the sender's email address for any typos or suspicious characters.""]","The email appears to be from a real Python mailing list, and the content is relevant to the topic. However, the lack of personalization and the use of a generic greeting make it seem less likely to be from Nick Coghlan."
"SUBJECT: the new power company EMAIL: the new power company the first national residential and small business energy service provider in deregulated markets was launched today with strategic investors and partners including enron ibm and america online . h . eugene lockhart has been named president and chief executive officer of the company . he was formerly president of at t consumer services and chief marketing officer of at t as well as president of bank america s global retail bank and president and ceo of mastercard international . lockhart is joined by a number of high - level executives from the telecommunications and financial services sectors as well as several former enron executives specializing in energy commodity pricing marketing risk management and government regulatory affairs . the former enron employees include jim badum formerly managing director of consumer services at ees john henderson formerly vice president of retail risk management for ees dave eichinger formerly vice president of corporate development for enron corp . and kathleen magruder formerly vice president of government affairs for enron corp . lou pai chairman and ceo for ees will serve as non - executive chairman of the new power company . enron will provide the new power company with energy commodity pricing risk management and government / regulatory affairs . ken lay is quoted in the news release "" we ve studied the residential and small business market for several years and believe this is the optimal way to provide value to these customers . by assisting in setting up an independent company enron is able to leverage its core competencies of energy and risk management while partnering with other industry leaders to give the new power company extraordinary and immediate depth and capability . "" ken will also serve on the board of directors . the new power company is scheduled to initially provide service in pennsylvania and new jersey in the second half of 2000 . the company will be headquartered in greenwich connecticut with some operations in houston . for more information please log onto their website at http : / / www . newpowercompany . com .",Legit,False,Low,"['Request to visit a company website', 'Job offer or leadership position', 'Celebrity endorsement (Ken Lay)']","[""Verify the company's legitimacy and CEO"", 'Check for any updates on the website', 'Contact the company directly using a secure channel']","The email appears to be a press release announcing the launch of a new energy company with high-level executives from Enron. While it is possible that this is a legitimate announcement, the presence of Ken Lay's endorsement and the request to visit the company website raise suspicions."
"FROM: ""Bill Kearney"" SUBJECT: Re: A moment of silence for the First Amendment fwd EMAIL: > From: Owen Byrne > A flippant remark that I will probably regret - > sure theres assholes everywhere. I just remember a lunch in Spain with > a semi-famous American - I think we had about 10 nationalities at the > table and he managed to insult each of them within > 15 minutes. A historical perspective makes me think that empires - > Roman British Russian American whatever - produce > a larger proportion of assholes than subject nations and are more > likely to have them in positions of authority. Yep those that win battles collect tthe spoils. Lead and breed. Want it to be different Lead dont whine.",Legit,False,Low,['A historical perspective makes me think that empires - Roman British Russian American whatever - produce a larger proportion of assholes than subject nations'],"[""Verify sender's identity through official channel"", 'Be cautious of generic statements about nationalities']","The email appears to be a quote from a person, possibly a historical figure, and is not attempting to deceive or manipulate the recipient into taking action."
SUBJECT: hello vince EMAIL: vince two things . do you have any comments on the interview document second i want to submit a proposal to the european financial management association meetings for next may based on our paper . the meeting is in may and is held in paris . hope you can come assuming the program committee likes our proposal - - i won the best paper award at last year s meeting so maybe we can do it again . looking forward to hearing form you so i can get bob s response to the questions . john john d . martin carr p . collins chair in finance finance department baylor university po box 98004 waco tx 76798 254 - 710 - 4473 office 254 - 710 - 1092 fax j _ martin @ baylor . edu web : http : / / hsb . baylor . edu / html / martinj / home . html,Legit,False,Low,"['Personalized greeting', 'Request for feedback on work', 'Exclusive opportunity', 'Sense of urgency']","['Respond to the email with a generic acknowledgement', 'Do not click on any links or download attachments', ""Verify the legitimacy of the meeting invitation through Baylor University's official website"", ""Check the sender's email address for any typos or inconsistencies""]","The email is likely legitimate as it appears to be from a real university and contains information that could be relevant to an employee. However, it's essential to exercise caution and verify the details through official channels to avoid potential phishing attempts."
"SUBJECT: year end 2000 performance feedback EMAIL: note : you will receive this message each time you are selected as a reviewer . you have been selected to participate in the year end 2000 performance management process by providing meaningful feedback on specific employee s . your feedback plays an important role in the process and your participation is critical to the success of enron s performance management goals . to complete requests for feedback access pep at http : / / pep . corp . enron . com and select perform review under performance review services . you may begin providing feedback immediately and are requested to have all feedback forms completed by friday november 17 2000 . if you have any questions regarding pep or your responsibility in the process please contact the pep help desk at : houston : 1 . 713 . 853 . 4777 option 4 london : 44 . 207 . 783 . 4040 option 4 email : perfmgmt @ enron . com thank you for your participation in this important process . the following is a cumulative list of employee feedback requests with a status of "" open . "" once you have submitted or declined an employee s request for feedback their name will no longer appear on this list . review group : enron feedback due date : nov 17 2000 employee name supervisor name date selected - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - brown elizabeth y richard a dietz oct 26 2000 burleson robert m rockey k storie nov 08 2000 donoho lindy h steven m harris nov 02 2000 hyatt jess k steven m harris oct 30 2000 scott susan c drew j fossum nov 03 2000",Legit,False,Low,"['Urgency', 'Impersonation of a company representative']","['Do not click on any links or provide personal information.', 'Contact the actual HR department directly']","The email is likely legitimate, as it contains specific details about an employee performance management process and provides official contact information."
"SUBJECT: Re: IIU Eircom mail server weirdness EMAIL: The IP address is certainly correct I just did a quick ping. Martin Whelan wrote: > Hi > > I get the following > > Martin > > 220 mail05.svc.cra.dublin.eircom.net ESMTP > ehlo smtp.company.com > 250-mail05.svc.cra.dublin.eircom.net > 250-PIPELINING > 250-8BITMIME > 250-ETRN > 250 XEXDATA > > > > Brendan Kehoe wrote: >>> EHLO from this server: >>> >>> >>> vnga@smtp telnet mail1.eircom.net 25 >>> Trying 159.134.198.135... >>> Connected to mail1.eircom.net. >>> Escape character is . >>> 220 Amocom SMTP relay >>> ehlo smtp.company.com >>> 250-smtp.company.com >>> 250-PIPELINING >>> 250-SIZE 10240000 >>> 250-VRFY >>> 250-ETRN >>> 250 8BITMIME >>> <<< >>> >> Does it happen for any other mail servers you telnet to The above >> doesnt look like its Eircom youre seeing. ""This is not the mail >> server youre looking for..."" Any way its something of your own >> Going to amocom.coms port 25 I get c3.beecher.net hee hee... >> >> B >> >> _______________________________________________ >> IIU mailing list >> tzt@iiu.taint.org >> http://amgod.boxhost.net/cgi-bin/mailman/listinfo/iiu >> >> >> > -- Déise Design www.deisedesign.com 058 23647 _______________________________________________ IIU mailing list tzt@iiu.taint.org http://amgod.boxhost.net/cgi-bin/mailman/listinfo/iiu",Legit,False,Low,[],['Check the authenticity of the email by contacting Eircom directly using a phone number or email address you know is legitimate'],The email is from a listserv (mailing list) and appears to be a genuine discussion thread.
"SUBJECT: re : ken lay s speech EMAIL: is there a difference though - - is the 460 part of the 1300 alhamd alkhayat enron corp . 1 713 853 - 0315 this message including any attachments contains confidential information intended for a specific individual and purpose and is protected by law . if you are not the intended recipient you should delete this message and are hereby notified that any disclosure copying or distribution of this message or the taking of any action based on it is strictly prohibited . maureen raymond @ ect 01 / 02 / 2001 01 : 20 pm to : alhamd alkhayat / na / enron @ enron steven j kean / na / enron @ enron margaret carson / corp / enron @ enron cc : vince j kaminski / hou / ect @ ect subject : re : ken lay s speech the 1 . 3 trillion tax cut which is frequently quoted by the press is over 10 years the 460 tax cut below is over five years . maureen raymond 01 / 02 / 2001 12 : 44 pm to : alhamd alkhayat / na / enron @ enron steven j kean / na / enron @ enron margaret carson / corp / enron @ enron cc : vince j kaminski / hou / ect @ ect subject : ken lay s speech i looked into the proposed tax cut by george w . bush . on his website he proposes a 460 billion tax cut over five years . the 213 billion "" energy tax "" imposed from 1999 to 2001 by higher energy prices is roughly half of bush s proposed tax cut . maureen",Legit,True,High,"['Threat of legal action', 'Urgency to take action']","[""Verify sender's identity and purpose"", 'Do not respond or take any action']","Email contains confidential information, threats of legal action, and pressure to act quickly, all characteristic of phishing scams."
"FROM: Vivek Khera SUBJECT: Re: SAtalk Ignore System Messages - How EMAIL: >>>>> ""v"" vernon writes: v> Some of my ""Security Violations"" and ""Unusual System Events"" are being v> tagged as SPAM by SpamAssassin. How do I get SA to ignore these messages whitelists. you really have to white list any message source that discusses or is used to report spam else the reports will be marked as spam given that they have the spam indicators in them usually... This is the only whitelisting I use. ------------------------------------------------------- This sf.net email is sponsored by:ThinkGeek Welcome to geek heaven. http://thinkgeek.com/sf _______________________________________________ Spamassassin-talk mailing list Spamassassin-talk@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/spamassassin-talk",Legit,False,Low,['asking for whitelist creation without proper context'],['Verify the authenticity of the sender and system messages'],"Lack of personalization, overly formal tone, and unsolicited whitelisting advice"
SUBJECT: Re: Code freeze EMAIL: Juerd Waalboer skribis 2007-10-22 13:39 0200: > Rafael Garcia-Suarez skribis 2007-10-22 13:23 0200: > > We could however rename perl568delta to perl5680delta. > And assume there wont ever be a 5.8.10 This makes no sense ignore that question : -- Met vriendelijke groet Kind regards Korajn salutojn Juerd Waalboer: Perl hacker <@juerd.nl> Convolution: ICT solutions and consultancy,Legit,False,Low,"[' rename perl568delta to perl5680delta', ' assume there wont ever be a 5.8.10']","[""Verify sender's identity and check for any spelling mistakes in the email address."", 'Contact the company directly using an alternative contact method']","The email is likely a harmless internal discussion among colleagues, but it contains some red flags that warrant further investigation."
"SUBJECT: re : revised curtailment and banner for eol EMAIL: how about this for the banner on eol all posted prices are read only . if you are interested in discussing a possible transaction contact the enron trading desk . please be advised that enron corp . and other subsidiaries of enron have made filings under chapter 11 of federal bankruptcy laws . after further consideration i think it is important to make clear 1 that we will not automatically agree to the trade if a counterparty calls and 2 that enron has filed for bankruptcy protection . - - - - - original message - - - - - from : portz david sent : mon 12 / 3 / 2001 6 : 57 pm to : webb jay lavorato john kitchen louise cc : mellencamp lisa sager elizabeth taylor mark e legal st . clair carol aronowitz alan murphy harlan subject : eol click trade curtailment and banner jay - - consistent with my voicemail to you elizabeth sager has indicated that louise kitchens and john lavorado approved that counterparties will not be able to click trades on eol commencing tomorrow morning and that the banner shown in red below shall be shown to direct counterparties to execute as over - the - counter trades with desk personnel . legal s lisa mellencamp has okayed the banner in relation to the bankruptcy aspects . accordingly please implement for eol site starting tomorrow . "" all prices posted are read only . please contact enron trading desk personnel to transact on posted information . "" david a . portz senior counsel enron north america corp . 1400 smith eb 3805 a houston texas 77002 - 7361 phone : 713 - 853 - 9239 fax : 713 - 646 - 3491 cell : 713 - 417 - 9116 assistant : linda simmons ext . 57851",Legit,False,Low,"['Urgency to act on a limited-time offer', 'Reference to a bankruptcy filing without clear context', 'Request to contact Enron Trading Desk for transactions']","[""Verify the authenticity of the email and the source's identity"", ""Check the legitimacy of the Enron Corporation's bankruptcy filings"", 'Be cautious when contacting Enron Trading Desk for transactions']","The email appears to be a legitimate communication from Enron Corporation, but its language and request for action are suspicious."
SUBJECT: re : 2001 anticipated budget adjustments for hpl sale EMAIL: attached is a quick cut at the 2001 budget adjustments for hpl . total budget for 2001 was 6 . 2 . saving for the remainder of year assume sale completes by june 1 could be a possible 2 . 6 . this is just based upon headcount reduction . let me know what you think / thanks bob from : sally beck @ ect 01 / 22 / 2001 01 : 59 pm to : bob m hall / na / enron @ enron leslie reeves / hou / ect @ ect jeffrey c gossett / hou / ect @ ect james scribner / corp / enron @ enron cc : louise kitchen / hou / ect @ ect subject : 2001 anticipated budget adjustments for hpl sale during the budgeting process for 2001 i gave dave delainey an estimated cost savings for energy operations assuming the sale of hpl . since this is clearly on the horizon we need to take a close look at opportunities for cost savings and our estimated timing on those savings . i will ask james by copy of this memo to set up a meeting late this week to cover this . i want to be able to get back with dave with more detailed estimates of cost savings .,Legit,False,Low,"['assumed sale date', 'assuming on the horizon']","[""Verify sender's identity"", ""Check Enron's official website for budget information""]","Lack of urgency and specificity in estimates, unclear company structure and communication channels."
"SUBJECT: Re: SVN notifications killing spamassassin EMAIL: Eric A. Hall writes: > I sometimes get SVN notifications that contain lists of files and their > status. The filenames will often get picked up by the URI matching > algorithm each of which end up being processed through numerous lookups > URICOUNTRY my LDAP filter etc. Sometimes I get very large messages > with hundreds of file lists which in turn causes spamassassin to go into > never-never land while it thinks about the hundreds of ""URI"" matches. > > For example > > A fpo/reports/perl/nagios_notifications1.pl.bak > A foo/reports/perl/nagios_outages1.pl > A foo/reports/perl/GWIR.pm > > nagios_outages1.pl will be determined as a URI for .pl domain and GWIR.pm > will be determined as a URI for .pm domain and so forth. The only way to > get these messages through is to disable spamassassin... > > Ive updated to 3.2.4 just now and it still has the same problem > > Im guessing the URI analyzer needs to be smarter. The URI analyzer already is smarter Changing the URICountry plugin is the way to fix this. The Mail/SpamAssassin/Plugin/URIDetail plugin is a good example of how plugins can get metadata about the URIs via the get_uri_detail_list API. looking at the POD doc and source for that in Mail/SpamAssassin/PerMsgStatus I see that ""types"" ""parsed"" should mean that the URI was inferred instead of found in a link or image. URICountry should ignore URIs of that type. --j.",Legit,False,Low,"['URIs with multiple domains', 'Use of technical jargon']","[""Disable spamassassin temporarily to test if it's the cause of the issue"", 'Check Mail/SpamAssassin/Plugin/URIDetail plugin documentation for further information']","The email appears to be a genuine discussion about a common issue with SpamAssassin, and the language used is neutral. The only potential red flag is the use of technical jargon, but this could also be seen as a positive sign that the author is knowledgeable about the topic."
SUBJECT: Re: opensuse OpenSUSEs New Tech Evangelist EMAIL: On Feb 11 2008 1:10 PM Sylvester Lykkehus wrote: > On 2008-02-11 18:03 Philippe Landau wrote: > > Interview: OpenSUSEs New Tech Evangelist > > http://cio.com/article/179204/Interview_OpenSUSE_s_New_Tech_Evangelist_ > > > > The interview is good as are the answers. > However what drew my attention most was the comments. > Every single one of them is about the Novell/Microsoft deal and not in > the flattering way. > > I am surprised to see that this is still a hot topic since I mostly > felt the hot air had already left that balloon. > The Novell/Microsoft deal is still very much disliked at the Atlanta LUG. Lots of SUSE users but lots of people adament that they wont touch Suse because of it. I suspect setting the record straight will be a major issue for Zonker. And if he succeeds he will have earned his pay. Greg -- Greg Freemyer Litigation Triage Solutions Specialist http://www.linkedin.com/in/gregfreemyer First 99 Days Litigation White Paper - http://www.norcrossgroup.com/forms/whitepapers/9920Days20whitepaper.pdf The Norcross Group The Intersection of Evidence Technology http://www.norcrossgroup.com,Legit,False,Low,"['Novell/Microsoft deal', 'hot topic', 'disliked at the Atlanta LUG', ""adament that they won't touch SUSE"", 'flattering way']","['Verify the context of the email', ""Check the sender's expertise and credentials"", 'Evaluate the tone and language used in the email', 'Assess the relevance of the provided link', 'Be cautious of emotive language']","The email appears to be a legitimate discussion forum response, as it references specific details from an interview and includes opinions from a group (Atlanta LUG) that may have a vested interest. However, the use of capital letters in certain parts of the text may indicate emotional tone rather than formal communication."
SUBJECT: Re: Python-Dev The Breaking of distutils and PyPI for Python 3000 EMAIL: > try: > bytes > except NameError: > bytes str > > somewhere then write the code as I proposed above. > > This is exactly the sort of thing that should be and I expect will be in > the conversion docs. That expectation might be unfounded in the sense that it might not be written at all. I only happened to learn about that approach as I was converting Django to 3k. Ill happily put my experience in doing so into an email message but I wont sit down and write a text document. Regards Martin _______________________________________________ Python-Dev mailing list zvllln-eum@python.org http://mail.python.org/mailman/listinfo/python-dev Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev40tangomu.com,Legit,False,Low,"['expectation might be unfounded', 'happily put my experience in doing so into an email message']","['Do not respond to the email or click on any links.', 'Report the email as spam if you receive a similar message in the future.']","The email appears to be a spam message from a list, attempting to trick the recipient into responding with their experience. The tone is informal and lacks official language."
